destination_master_id,enrichment_version,enrichment_pass_date,enrichment_method,origin_fit_ccu,origin_fit_ccu_basis,origin_fit_ccu_confidence,origin_fit_ixr,origin_fit_ixr_basis,origin_fit_ixr_confidence,infant_suitability_score,infant_suitability_band,family_suitability_band,senior_suitability_band,couple_suitability_band,suitability_basis,travel_fatigue_band,travel_fatigue_drivers,transfer_complexity_hint,planning_complexity_band,planning_complexity_drivers,permit_or_visa_hint,medical_access_confidence,medical_access_basis,pediatric_access_confidence,season_window,monsoon_caution,heat_caution,winter_road_caution,altitude_caution,weather_basis,resort_family_density,accommodation_breadth,derived_access_complexity,derived_caution_tags,verification_status,planner_use_status,source_confidence,enrichment_notes
DST2-000012,v1.0,2026-05-18,heuristic_v1,moderate,North India is within Kolkata secondary catchment,medium,moderate,North India is within Ranchi secondary catchment,medium,45,low_medium,medium,medium,medium,"access=moderate; medical=medium; cautions=heat,snow_closure,winter_road_weather",medium,,simple,medium,seasonal_closure,,medium,town/secondary-city tier; district-level care assumed,medium,Mar-Jun;Oct-Feb (verify_current_year),none,check,avoid,none,heat:check;winter_road:avoid,medium,moderate,moderate,heat_check;snow_closure_check;winter_road_weather_check,enriched_unverified,needs_verification,low,queued_for_batch_S: infant_score=45 at low_medium/medium boundary | queued_for_batch_M: infant_score=45 requires medical-access verification before treating as decision-grade
DST2-000013,v1.0,2026-05-18,heuristic_v1,moderate,North India is within Kolkata secondary catchment,medium,moderate,North India is within Ranchi secondary catchment,medium,45,low_medium,medium,medium,medium,"access=moderate; medical=medium; cautions=heat,snow_closure,winter_road_weather",medium,,simple,medium,seasonal_closure,,medium,town/secondary-city tier; district-level care assumed,medium,Mar-Jun;Sep-Nov (verify_current_year),none,check,avoid,none,heat:check;winter_road:avoid,medium,moderate,moderate,heat_check;snow_closure_check;winter_road_weather_check,enriched_unverified,needs_verification,low,queued_for_batch_S: infant_score=45 at low_medium/medium boundary | queued_for_batch_M: infant_score=45 requires medical-access verification before treating as decision-grade
DST2-000014,v1.0,2026-05-18,heuristic_v1,moderate,North India is within Kolkata secondary catchment,medium,moderate,North India is within Ranchi secondary catchment,medium,45,low_medium,medium,medium,medium,"access=moderate; medical=medium; cautions=heat,snow_closure,winter_road_weather",medium,,simple,medium,seasonal_closure,,medium,town/secondary-city tier; district-level care assumed,medium,Mar-Jun;Sep-Nov (verify_current_year),none,check,avoid,none,heat:check;winter_road:avoid,medium,moderate,moderate,heat_check;snow_closure_check;winter_road_weather_check,enriched_unverified,needs_verification,low,queued_for_batch_S: infant_score=45 at low_medium/medium boundary | queued_for_batch_M: infant_score=45 requires medical-access verification before treating as decision-grade
DST2-000015,v1.0,2026-05-18,heuristic_v1,moderate,North India is within Kolkata secondary catchment,medium,moderate,North India is within Ranchi secondary catchment,medium,25,low,low,low,medium,"access=hard; medical=low; cautions=altitude,border_area,heat,infant_food_access,long_road_transfer,mobility_access,permit,snow_closure,winter_road_weather",very_high,long_road_transfer;high_road_difficulty;altitude;remoteness,complex,high,permit_required;seasonal_closure;medical_prep;weather_critical,inner_line_permit_or_equivalent_required_check_current_rules,low,remote/small-settlement tier; medical access limited,low,Jun-Sep (verify_current_year),none,check,avoid,avoid,heat:check;winter_road:avoid;altitude:avoid,unknown,moderate,hard,altitude_check;border_area_check;heat_check;infant_food_access_check;long_road_transfer_check;mobility_access_check;permit_check;snow_closure_check;winter_road_weather_check,enriched_unverified,needs_verification,low,queued_for_batch_M: infant_score=25 requires medical-access verification before treating as decision-grade
DST2-000016,v1.0,2026-05-18,heuristic_v1,moderate,North India is within Kolkata secondary catchment,medium,moderate,North India is within Ranchi secondary catchment,medium,30,low_medium,low_medium,medium,medium,"access=moderate; medical=low; cautions=border_area,heat,permit",medium,remoteness,complex,medium,permit_required;weather_critical,inner_line_permit_or_equivalent_required_check_current_rules,low,remote/small-settlement tier; medical access limited,low,Apr-Oct (verify_current_year),none,check,none,none,heat:check,unknown,moderate,moderate,border_area_check;heat_check;permit_check,enriched_unverified,needs_verification,low,queued_for_batch_M: infant_score=30 requires medical-access verification before treating as decision-grade
DST2-000017,v1.0,2026-05-18,heuristic_v1,moderate,North India is within Kolkata secondary catchment,medium,moderate,North India is within Ranchi secondary catchment,medium,30,low_medium,low_medium,medium,high,"access=moderate; medical=low; cautions=border_area,heat,permit,snow_closure,winter_road_weather",medium,remoteness,complex,high,permit_required;seasonal_closure;weather_critical,inner_line_permit_or_equivalent_required_check_current_rules,low,remote/small-settlement tier; medical access limited,low,Dec-Mar;Apr-Jun (verify_current_year),none,check,avoid,none,heat:check;winter_road:avoid,high,broad,moderate,border_area_check;heat_check;permit_check;snow_closure_check;winter_road_weather_check,enriched_unverified,needs_verification,low,queued_for_batch_M: infant_score=30 requires medical-access verification before treating as decision-grade
DST2-000018,v1.0,2026-05-18,heuristic_v1,moderate,North India is within Kolkata secondary catchment,medium,moderate,North India is within Ranchi secondary catchment,medium,35,low_medium,medium,medium,low_medium,"access=moderate; medical=medium; cautions=crowd,heat",medium,,simple,low,,,medium,town/secondary-city tier; district-level care assumed,medium,Oct-Apr (verify_current_year),none,check,none,none,heat:check,unknown,moderate,moderate,crowd_check;heat_check,enriched_unverified,needs_verification,low,queued_for_batch_M: infant_score=35 requires medical-access verification before treating as decision-grade
DST2-000019,v1.0,2026-05-18,heuristic_v1,moderate,North India is within Kolkata secondary catchment,medium,moderate,North India is within Ranchi secondary catchment,medium,65,medium,medium,medium,low_medium,"access=easy; medical=high; cautions=crowd,heat",low,,simple,low,,,high,major-city tier; tertiary care assumed available,high,Oct-Mar (verify_current_year),none,check,none,none,heat:check,medium,broad,easy,crowd_check;heat_check,enriched_unverified,needs_verification,low,
DST2-000020,v1.0,2026-05-18,heuristic_v1,moderate,North India is within Kolkata secondary catchment,medium,moderate,North India is within Ranchi secondary catchment,medium,45,low_medium,medium,medium,medium,"access=moderate; medical=medium; cautions=heat,snow_closure,winter_road_weather",medium,,simple,medium,seasonal_closure,,medium,town/secondary-city tier; district-level care assumed,medium,Mar-Jun;Sep-Nov (verify_current_year),none,check,avoid,none,heat:check;winter_road:avoid,medium,moderate,moderate,heat_check;snow_closure_check;winter_road_weather_check,enriched_unverified,needs_verification,low,queued_for_batch_S: infant_score=45 at low_medium/medium boundary | queued_for_batch_M: infant_score=45 requires medical-access verification before treating as decision-grade
DST2-000021,v1.0,2026-05-18,heuristic_v1,moderate,North India is within Kolkata secondary catchment,medium,moderate,North India is within Ranchi secondary catchment,medium,45,low_medium,medium,medium,medium,"access=moderate; medical=medium; cautions=heat,snow_closure,winter_road_weather",medium,,simple,medium,seasonal_closure,,medium,town/secondary-city tier; district-level care assumed,medium,Mar-Jun;Sep-Nov (verify_current_year),none,check,avoid,none,heat:check;winter_road:avoid,medium,moderate,moderate,heat_check;snow_closure_check;winter_road_weather_check,enriched_unverified,needs_verification,low,queued_for_batch_S: infant_score=45 at low_medium/medium boundary | queued_for_batch_M: infant_score=45 requires medical-access verification before treating as decision-grade
DST2-000022,v1.0,2026-05-18,heuristic_v1,moderate,North India is within Kolkata secondary catchment,medium,moderate,North India is within Ranchi secondary catchment,medium,15,low,medium,medium,medium,"access=moderate; medical=low; cautions=heat,infant_food_access",medium,,simple,medium,seasonal_closure;booking_lead_time,,low,remote/small-settlement tier; medical access limited,low,Nov-Jun (verify_current_year),none,check,none,none,heat:check,unknown,moderate,moderate,heat_check;infant_food_access_check,enriched_unverified,needs_verification,low,queued_for_batch_M: infant_score=15 requires medical-access verification before treating as decision-grade
DST2-000023,v1.0,2026-05-18,heuristic_v1,moderate,North India is within Kolkata secondary catchment,medium,moderate,North India is within Ranchi secondary catchment,medium,65,medium,medium,medium,low_medium,"access=easy; medical=high; cautions=crowd,heat",low,,simple,low,,,high,major-city tier; tertiary care assumed available,high,Oct-Mar (verify_current_year),none,check,none,none,heat:check,medium,broad,easy,crowd_check;heat_check,enriched_unverified,needs_verification,low,
DST2-000024,v1.0,2026-05-18,heuristic_v1,moderate,North India is within Kolkata secondary catchment,medium,moderate,North India is within Ranchi secondary catchment,medium,70,medium,medium,medium,medium,access=easy; medical=high; cautions=heat,low,,simple,low,,,high,major-city tier; tertiary care assumed available,high,Oct-Mar (verify_current_year),none,check,none,none,heat:check,medium,broad,easy,heat_check,enriched_unverified,needs_verification,low,queued_for_batch_S: all four suitability bands identical (heuristic flattening risk)
DST2-000025,v1.0,2026-05-18,heuristic_v1,moderate,Central India is within Kolkata secondary catchment,medium,strong,Central India is within Ranchi primary catchment,high,70,medium,medium,medium,medium,access=easy; medical=high; cautions=heat,low,,simple,low,,,high,major-city tier; tertiary care assumed available,high,Oct-Mar (verify_current_year),none,check,none,none,heat:check,medium,broad,easy,heat_check,enriched_unverified,needs_verification,low,queued_for_batch_S: all four suitability bands identical (heuristic flattening risk)
DST2-000026,v1.0,2026-05-18,heuristic_v1,moderate,Central India is within Kolkata secondary catchment,medium,strong,Central India is within Ranchi primary catchment,high,20,low,medium,medium,medium,"access=moderate; medical=low; cautions=heat,infant_food_access",medium,,simple,low,,,low,remote/small-settlement tier; medical access limited,low,Oct-Mar (verify_current_year),none,check,none,none,heat:check,low,narrow,moderate,heat_check;infant_food_access_check,enriched_unverified,needs_verification,low,queued_for_batch_M: infant_score=20 requires medical-access verification before treating as decision-grade
DST2-000027,v1.0,2026-05-18,heuristic_v1,moderate,Central India is within Kolkata secondary catchment,medium,strong,Central India is within Ranchi primary catchment,high,45,low_medium,medium,medium,medium,access=moderate; medical=medium; cautions=heat,medium,,simple,low,,,medium,town/secondary-city tier; district-level care assumed,medium,Oct-Mar (verify_current_year),none,check,none,none,heat:check,unknown,moderate,moderate,heat_check,enriched_unverified,needs_verification,low,queued_for_batch_S: infant_score=45 at low_medium/medium boundary | queued_for_batch_M: infant_score=45 requires medical-access verification before treating as decision-grade
DST2-000028,v1.0,2026-05-18,heuristic_v1,moderate,Central India is within Kolkata secondary catchment,medium,strong,Central India is within Ranchi primary catchment,high,40,low_medium,medium,medium,medium,access=moderate; medical=medium; cautions=heat,medium,,simple,low,,,medium,town/secondary-city tier; district-level care assumed,medium,Oct-Mar (verify_current_year),none,check,none,none,heat:check,unknown,moderate,moderate,heat_check,enriched_unverified,needs_verification,low,queued_for_batch_M: infant_score=40 requires medical-access verification before treating as decision-grade
DST2-000029,v1.0,2026-05-18,heuristic_v1,moderate,Central India is within Kolkata secondary catchment,medium,strong,Central India is within Ranchi primary catchment,high,45,low_medium,medium,medium,medium,access=moderate; medical=medium; cautions=heat,medium,,simple,low,,,medium,town/secondary-city tier; district-level care assumed,medium,Oct-Mar (verify_current_year),none,check,none,none,heat:check,medium,moderate,moderate,heat_check,enriched_unverified,needs_verification,low,queued_for_batch_S: infant_score=45 at low_medium/medium boundary | queued_for_batch_M: infant_score=45 requires medical-access verification before treating as decision-grade
DST2-000030,v1.0,2026-05-18,heuristic_v1,moderate,Central India is within Kolkata secondary catchment,medium,strong,Central India is within Ranchi primary catchment,high,0,low,low_medium,low_medium,medium,"access=hard; medical=low; cautions=heat,infant_food_access,long_road_transfer",high,long_road_transfer;high_road_difficulty,complex,medium,seasonal_closure;booking_lead_time,,low,remote/small-settlement tier; medical access limited,low,Oct-Jun (verify_current_year),none,check,none,none,heat:check,unknown,moderate,hard,heat_check;infant_food_access_check;long_road_transfer_check,enriched_unverified,needs_verification,low,queued_for_batch_M: infant_score=0 requires medical-access verification before treating as decision-grade
DST2-000031,v1.0,2026-05-18,heuristic_v1,moderate,Central India is within Kolkata secondary catchment,medium,strong,Central India is within Ranchi primary catchment,high,0,low,low_medium,low_medium,medium,"access=hard; medical=low; cautions=heat,infant_food_access,long_road_transfer",high,long_road_transfer;high_road_difficulty,complex,medium,seasonal_closure;booking_lead_time,,low,remote/small-settlement tier; medical access limited,low,Oct-Jun (verify_current_year),none,check,none,none,heat:check,unknown,moderate,hard,heat_check;infant_food_access_check;long_road_transfer_check,enriched_unverified,needs_verification,low,queued_for_batch_M: infant_score=0 requires medical-access verification before treating as decision-grade
DST2-000032,v1.0,2026-05-18,heuristic_v1,weak,West India is outside Kolkata regular catchment,medium,weak,West India is outside Ranchi regular catchment,medium,75,high,medium,medium,medium,access=easy; medical=high; cautions=heat,low,multi_leg,simple,low,,,high,metro/major-city tier; tertiary care assumed available,high,Nov-Feb (verify_current_year),none,check,none,none,heat:check,medium,broad,easy,heat_check,enriched_unverified,needs_verification,low,
DST2-000033,v1.0,2026-05-18,heuristic_v1,weak,West India is outside Kolkata regular catchment,medium,weak,West India is outside Ranchi regular catchment,medium,75,high,medium,medium,medium,access=easy; medical=high; cautions=heat,low,multi_leg,simple,low,,,high,metro/major-city tier; tertiary care assumed available,high,Oct-Feb (verify_current_year),none,check,none,none,heat:check,medium,broad,easy,heat_check,enriched_unverified,needs_verification,low,
DST2-000034,v1.0,2026-05-18,heuristic_v1,weak,West India is outside Kolkata regular catchment,medium,weak,West India is outside Ranchi regular catchment,medium,60,medium,medium,medium,medium,access=easy; medical=medium; cautions=heat,low,multi_leg,simple,low,,,medium,town/secondary-city tier; district-level care assumed,medium,Jun-Sep;Oct-Feb (verify_current_year),none,check,none,none,heat:check,medium,moderate,easy,heat_check,enriched_unverified,needs_verification,low,queued_for_batch_S: all four suitability bands identical (heuristic flattening risk)
DST2-000035,v1.0,2026-05-18,heuristic_v1,weak,West India is outside Kolkata regular catchment,medium,weak,West India is outside Ranchi regular catchment,medium,45,low_medium,medium,medium,medium,access=moderate; medical=medium; cautions=heat,medium,multi_leg,simple,low,,,medium,town/secondary-city tier; district-level care assumed,medium,Oct-Jun (verify_current_year),none,check,none,none,heat:check,medium,moderate,moderate,heat_check,enriched_unverified,needs_verification,low,queued_for_batch_S: infant_score=45 at low_medium/medium boundary | queued_for_batch_M: infant_score=45 requires medical-access verification before treating as decision-grade
DST2-000036,v1.0,2026-05-18,heuristic_v1,weak,West India is outside Kolkata regular catchment,medium,weak,West India is outside Ranchi regular catchment,medium,75,high,medium,medium,medium,access=easy; medical=high; cautions=heat,low,multi_leg,simple,low,,,high,major-city tier; tertiary care assumed available,high,Oct-Mar (verify_current_year),none,check,none,none,heat:check,medium,broad,easy,heat_check,enriched_unverified,needs_verification,low,
DST2-000037,v1.0,2026-05-18,heuristic_v1,weak,West India is outside Kolkata regular catchment,medium,weak,West India is outside Ranchi regular catchment,medium,45,low_medium,medium,medium,medium,access=moderate; medical=unknown; cautions=heat,medium,multi_leg,simple,low,,,unknown,heuristic insufficient; manual review required,unknown,Oct-Mar (verify_current_year),none,check,none,none,heat:check,medium,broad,moderate,heat_check,enriched_unverified,needs_verification,low,queued_for_batch_S: infant_score=45 at low_medium/medium boundary | queued_for_batch_M: heuristic insufficient; manual review required
DST2-000038,v1.0,2026-05-18,heuristic_v1,weak,West India is outside Kolkata regular catchment,medium,weak,West India is outside Ranchi regular catchment,medium,55,medium,medium,medium,medium,"access=easy; medical=unknown; cautions=heat,monsoon",low,multi_leg,simple,medium,seasonal_closure,,unknown,heuristic insufficient; manual review required,unknown,Nov-Mar (verify_current_year),check,check,none,none,monsoon:check;heat:check,high,broad,easy,heat_check;monsoon_check,enriched_unverified,needs_verification,low,queued_for_batch_S: infant_score=55 at low_medium/medium boundary; all four suitability bands identical (heuristic flattening risk) | queued_for_batch_M: heuristic insufficient; manual review required
DST2-000039,v1.0,2026-05-18,heuristic_v1,weak,West India is outside Kolkata regular catchment,medium,weak,West India is outside Ranchi regular catchment,medium,40,low_medium,medium,medium,medium,access=moderate; medical=medium; cautions=heat,medium,multi_leg,simple,low,,,medium,town/secondary-city tier; district-level care assumed,medium,Oct-Mar (verify_current_year),none,check,none,none,heat:check,medium,moderate,moderate,heat_check,enriched_unverified,needs_verification,low,queued_for_batch_M: infant_score=40 requires medical-access verification before treating as decision-grade
DST2-000040,v1.0,2026-05-18,heuristic_v1,weak,West India is outside Kolkata regular catchment,medium,weak,West India is outside Ranchi regular catchment,medium,70,medium,medium,medium,medium,access=easy; medical=high; cautions=heat,low,multi_leg,simple,low,,,high,metro/major-city tier; tertiary care assumed available,high,Nov-Feb (verify_current_year),none,check,none,none,heat:check,medium,broad,easy,heat_check,enriched_unverified,needs_verification,low,queued_for_batch_S: all four suitability bands identical (heuristic flattening risk)
DST2-000041,v1.0,2026-05-18,heuristic_v1,weak,West India is outside Kolkata regular catchment,medium,weak,West India is outside Ranchi regular catchment,medium,45,low_medium,medium,medium,medium,access=moderate; medical=unknown; cautions=heat,medium,multi_leg,simple,low,,,unknown,heuristic insufficient; manual review required,unknown,Nov-Feb (verify_current_year),none,avoid,none,none,heat:avoid,unknown,moderate,moderate,heat_check,enriched_unverified,needs_verification,low,queued_for_batch_S: infant_score=45 at low_medium/medium boundary | queued_for_batch_M: heuristic insufficient; manual review required
DST2-000042,v1.0,2026-05-18,heuristic_v1,weak,West India is outside Kolkata regular catchment,medium,weak,West India is outside Ranchi regular catchment,medium,15,low,medium,medium,medium,"access=moderate; medical=low; cautions=heat,infant_food_access",medium,multi_leg,simple,medium,seasonal_closure;booking_lead_time,,low,remote/small-settlement tier; medical access limited,low,Dec-Mar (verify_current_year),none,check,none,none,heat:check,unknown,moderate,moderate,heat_check;infant_food_access_check,enriched_unverified,needs_verification,low,queued_for_batch_M: infant_score=15 requires medical-access verification before treating as decision-grade
DST2-000043,v1.0,2026-05-18,heuristic_v1,weak,West India is outside Kolkata regular catchment,medium,weak,West India is outside Ranchi regular catchment,medium,35,low_medium,medium,medium,low_medium,"access=moderate; medical=medium; cautions=crowd,heat",medium,multi_leg,simple,low,,,medium,town/secondary-city tier; district-level care assumed,medium,Oct-Mar (verify_current_year),none,check,none,none,heat:check,medium,moderate,moderate,crowd_check;heat_check,enriched_unverified,needs_verification,low,queued_for_batch_M: infant_score=35 requires medical-access verification before treating as decision-grade
DST2-000044,v1.0,2026-05-18,heuristic_v1,weak,South India is outside Kolkata regular catchment,medium,weak,South India is outside Ranchi regular catchment,medium,80,high,medium,medium,medium,access=easy; medical=high; cautions=monsoon,low,multi_leg,simple,medium,seasonal_closure,,high,metro/major-city tier; tertiary care assumed available,high,Oct-Feb (verify_current_year),check,none,none,none,monsoon:check,medium,broad,easy,monsoon_check,enriched_unverified,needs_verification,low,
DST2-000045,v1.0,2026-05-18,heuristic_v1,weak,South India is outside Kolkata regular catchment,medium,weak,South India is outside Ranchi regular catchment,medium,75,high,medium,medium,medium,access=easy; medical=high; cautions=monsoon,low,multi_leg,simple,medium,seasonal_closure,,high,major-city tier; tertiary care assumed available,high,Oct-Feb (verify_current_year),check,none,none,none,monsoon:check,medium,broad,easy,monsoon_check,enriched_unverified,needs_verification,low,
DST2-000046,v1.0,2026-05-18,heuristic_v1,weak,South India is outside Kolkata regular catchment,medium,weak,South India is outside Ranchi regular catchment,medium,50,medium,medium,medium,medium,access=moderate; medical=unknown; cautions=monsoon,medium,multi_leg,simple,medium,seasonal_closure,,unknown,heuristic insufficient; manual review required,unknown,Oct-Mar (verify_current_year),check,none,none,none,monsoon:check,high,broad,moderate,monsoon_check,enriched_unverified,needs_verification,low,queued_for_batch_S: infant_score=50 at low_medium/medium boundary; all four suitability bands identical (heuristic flattening risk) | queued_for_batch_M: heuristic insufficient; manual review required
DST2-000047,v1.0,2026-05-18,heuristic_v1,weak,South India is outside Kolkata regular catchment,medium,weak,South India is outside Ranchi regular catchment,medium,50,medium,medium,medium,medium,access=moderate; medical=unknown; cautions=monsoon,medium,multi_leg,simple,medium,seasonal_closure,,unknown,heuristic insufficient; manual review required,unknown,Sep-Mar (verify_current_year),check,none,none,none,monsoon:check,medium,moderate,moderate,monsoon_check,enriched_unverified,needs_verification,low,queued_for_batch_S: infant_score=50 at low_medium/medium boundary; all four suitability bands identical (heuristic flattening risk) | queued_for_batch_M: heuristic insufficient; manual review required
DST2-000048,v1.0,2026-05-18,heuristic_v1,weak,South India is outside Kolkata regular catchment,medium,weak,South India is outside Ranchi regular catchment,medium,25,low,medium,medium,medium,"access=moderate; medical=low; cautions=infant_food_access,monsoon",medium,multi_leg,simple,medium,seasonal_closure,,low,remote/small-settlement tier; medical access limited,low,Oct-Feb (verify_current_year),check,none,none,none,monsoon:check,low,narrow,moderate,infant_food_access_check;monsoon_check,enriched_unverified,needs_verification,low,queued_for_batch_M: infant_score=25 requires medical-access verification before treating as decision-grade
DST2-000049,v1.0,2026-05-18,heuristic_v1,weak,South India is outside Kolkata regular catchment,medium,weak,South India is outside Ranchi regular catchment,medium,45,low_medium,medium,medium,medium,access=moderate; medical=medium; cautions=monsoon,medium,multi_leg,simple,medium,seasonal_closure,,medium,town/secondary-city tier; district-level care assumed,medium,Oct-Mar (verify_current_year),check,none,none,none,monsoon:check,medium,moderate,moderate,monsoon_check,enriched_unverified,needs_verification,low,queued_for_batch_S: infant_score=45 at low_medium/medium boundary | queued_for_batch_M: infant_score=45 requires medical-access verification before treating as decision-grade
DST2-000050,v1.0,2026-05-18,heuristic_v1,weak,South India is outside Kolkata regular catchment,medium,weak,South India is outside Ranchi regular catchment,medium,75,high,medium,medium,medium,access=easy; medical=high; cautions=monsoon,low,multi_leg,simple,medium,seasonal_closure,,high,metro/major-city tier; tertiary care assumed available,high,Oct-Feb (verify_current_year),check,none,none,none,monsoon:check,medium,broad,easy,monsoon_check,enriched_unverified,needs_verification,low,
DST2-000051,v1.0,2026-05-18,heuristic_v1,weak,South India is outside Kolkata regular catchment,medium,weak,South India is outside Ranchi regular catchment,medium,75,high,medium,medium,medium,access=easy; medical=high; cautions=monsoon,low,multi_leg,simple,medium,seasonal_closure,,high,metro/major-city tier; tertiary care assumed available,high,Nov-Feb (verify_current_year),check,none,none,none,monsoon:check,medium,broad,easy,monsoon_check,enriched_unverified,needs_verification,low,
