candidate_id,name,country,macro_region,state_or_area,district_or_area,proposed_location_type,proposed_vibe_1,proposed_vibe_2,proposed_vibe_3,priority_tier,verification_status,notes,normalized_location_type,normalized_vibe_1,normalized_vibe_2,normalized_vibe_3,trip_style_tags,context_tags,caution_tags,destination_scale_hint,normalisation_notes,promotion_status
CAND-0088,Kanger Valley,India,Central India,Chhattisgarh,Bastar,national_park,forest,caves,nature,tier_2,candidate,Forest/cave candidate,national_park,forest,caves,nature,,,,,,dedupe_pending
CAND-0089,Bilaspur,India,Central India,Chhattisgarh,Bilaspur,city,urban,gateway,culture,tier_3,candidate,Regional gateway candidate,city,urban,culture,,,gateway_context,,,vibe:gateway->context,dedupe_pending
CAND-0090,Mainpat,India,Central India,Chhattisgarh,Surguja,hill_region,hills,slow_travel,nature,tier_2,candidate,Chhattisgarh hill candidate,hill_region,hills,slow_travel,nature,,,,,,dedupe_pending
CAND-0091,Alibaug,India,West India,Maharashtra,Raigad,beach_town,beach,weekend,family,tier_1,candidate,Mumbai weekend coast candidate,beach_town,beach,family,,weekend_getaway,,,,vibe:weekend->trip_style:weekend_getaway,dedupe_pending
CAND-0092,Matheran,India,West India,Maharashtra,Raigad,hill_station,hills,weekend,family,tier_1,candidate,Mumbai/Pune hill candidate,hill_station,hills,family,,weekend_getaway,,,,vibe:weekend->trip_style:weekend_getaway,dedupe_pending
CAND-0093,Igatpuri,India,West India,Maharashtra,Nashik,hill_region,hills,weekend,nature,tier_2,candidate,Mumbai/Nashik hill candidate,hill_region,hills,nature,,weekend_getaway,,,,vibe:weekend->trip_style:weekend_getaway,dedupe_pending
CAND-0094,Bhandardara,India,West India,Maharashtra,Ahmednagar,lake_region,lakes,hills,nature,tier_2,candidate,Lake/nature candidate,lake_region,lakes,hills,nature,,,,,,dedupe_pending
CAND-0095,Tadoba,India,West India,Maharashtra,Chandrapur,tiger_reserve,wildlife,safari,nature,tier_1,candidate,Wildlife candidate,tiger_reserve,wildlife,safari,nature,,,,,,dedupe_pending
CAND-0096,Tarkarli,India,West India,Maharashtra,Sindhudurg,beach_town,beach,water,slow_travel,tier_1,candidate,Konkan beach candidate,beach_town,beach,water,slow_travel,,,,,,dedupe_pending
CAND-0097,Ganpatipule,India,West India,Maharashtra,Ratnagiri,beach_town,beach,spiritual,family,tier_1,candidate,Konkan beach/pilgrim candidate,beach_town,beach,spiritual,family,,,,,,dedupe_pending
CAND-0098,Ratnagiri,India,West India,Maharashtra,Ratnagiri,coastal_town,coast,food,heritage,tier_2,candidate,Konkan coast candidate,coastal_town,coast,food,heritage,,,,,,dedupe_pending
CAND-0099,Kolhapur,India,West India,Maharashtra,Kolhapur,heritage_city,food,spiritual,heritage,tier_1,candidate,Food/heritage candidate,heritage_city,food,spiritual,heritage,,,,,,dedupe_pending
CAND-0100,Shirdi,India,West India,Maharashtra,Ahmednagar,pilgrim_town,spiritual,pilgrimage,family,tier_1,candidate,Pilgrimage candidate,pilgrim_town,spiritual,pilgrimage,family,,,,,,dedupe_pending
CAND-0101,Ajanta Caves,India,West India,Maharashtra,Aurangabad,cave_heritage_site,heritage,caves,buddhist,tier_1,candidate,UNESCO-style heritage candidate,cave_heritage_site,heritage,caves,buddhist,,,,,,dedupe_pending
CAND-0102,Ellora Caves,India,West India,Maharashtra,Aurangabad,cave_heritage_site,heritage,caves,architecture,tier_1,candidate,UNESCO-style heritage candidate,cave_heritage_site,heritage,caves,architecture,,,,,,dedupe_pending
CAND-0103,Statue of Unity,India,West India,Gujarat,Narmada,heritage_site,architecture,family,weekend,tier_1,candidate,Large family attraction candidate,heritage_site,architecture,family,,weekend_getaway,,,,vibe:weekend->trip_style:weekend_getaway,dedupe_pending
CAND-0104,Saputara,India,West India,Gujarat,Dang,hill_station,hills,family,nature,tier_1,candidate,Gujarat hill candidate,hill_station,hills,family,nature,,,,,,dedupe_pending
CAND-0105,Somnath,India,West India,Gujarat,Gir Somnath,pilgrim_coastal_town,spiritual,coast,pilgrimage,tier_1,candidate,Pilgrimage/coast candidate,pilgrim_coastal_town,spiritual,coast,pilgrimage,,,,,,dedupe_pending
CAND-0106,Porbandar,India,West India,Gujarat,Porbandar,coastal_town,history,coast,culture,tier_2,candidate,Gujarat coast/history candidate,coastal_town,history,coast,culture,,,,,,dedupe_pending
CAND-0107,Vadodara,India,West India,Gujarat,Vadodara,heritage_city,palace,culture,food,tier_1,candidate,Urban heritage candidate,heritage_city,palace,culture,food,,,,,,dedupe_pending
CAND-0108,Champaner-Pavagadh,India,West India,Gujarat,Panchmahal,heritage_site,heritage,architecture,spiritual,tier_1,candidate,Heritage/spiritual candidate,heritage_site,heritage,architecture,spiritual,,,,,,dedupe_pending
CAND-0109,Surat,India,West India,Gujarat,Surat,city,food,shopping,urban,tier_2,candidate,Urban/food candidate,city,food,shopping,urban,,,,,,dedupe_pending
CAND-0110,Junagadh,India,West India,Gujarat,Junagadh,heritage_city,history,spiritual,gateway,tier_2,candidate,Gir/Somnath circuit candidate,heritage_city,history,spiritual,,,gateway_context,,,vibe:gateway->context,dedupe_pending
CAND-0111,Panaji,India,West India,Goa,North Goa,city,coast,food,culture,tier_1,candidate,Goa city/culture candidate,city,coast,food,culture,,,,,,dedupe_pending
CAND-0112,North Goa Beaches,India,West India,Goa,North Goa,beach_region,beach,nightlife,resort,tier_1,candidate,Goa beach region candidate,beach_region,beach,nightlife,resort,,,,,,dedupe_pending
CAND-0113,South Goa Beaches,India,West India,Goa,South Goa,beach_region,beach,resort,family,tier_1,candidate,Family resort beach candidate,beach_region,beach,resort,family,,,,,,dedupe_pending
CAND-0114,Old Goa,India,West India,Goa,North Goa,heritage_site,heritage,spiritual,architecture,tier_1,candidate,Goa heritage candidate,heritage_site,heritage,spiritual,architecture,,,,,,dedupe_pending
CAND-0115,Hampi-Badami-Aihole-Pattadakal Circuit,India,South India,Karnataka,North Karnataka,heritage_region,heritage,architecture,history,tier_1,candidate,Major heritage circuit candidate,heritage_region,heritage,architecture,history,,,,,,dedupe_pending
CAND-0116,Badami,India,South India,Karnataka,Bagalkot,cave_heritage_site,heritage,caves,architecture,tier_1,candidate,Heritage cave candidate,cave_heritage_site,heritage,caves,architecture,,,,,,dedupe_pending
CAND-0117,Pattadakal,India,South India,Karnataka,Bagalkot,heritage_site,heritage,architecture,temples,tier_1,candidate,Heritage candidate,heritage_site,heritage,architecture,temples,,,,,,dedupe_pending
CAND-0118,Aihole,India,South India,Karnataka,Bagalkot,heritage_site,heritage,architecture,temples,tier_2,candidate,Heritage candidate,heritage_site,heritage,architecture,temples,,,,,,dedupe_pending
CAND-0119,Bandipur,India,South India,Karnataka,Chamarajanagar,tiger_reserve,wildlife,safari,nature,tier_1,candidate,Wildlife candidate,tiger_reserve,wildlife,safari,nature,,,,,,dedupe_pending
CAND-0120,Nagarhole,India,South India,Karnataka,Kodagu/Mysuru,national_park,wildlife,safari,nature,tier_1,candidate,Wildlife candidate,national_park,wildlife,safari,nature,,,,,,dedupe_pending
CAND-0121,Kabini,India,South India,Karnataka,Mysuru,wildlife_reserve,wildlife,resort,nature,tier_1,candidate,Premium wildlife resort candidate,wildlife_reserve,wildlife,resort,nature,,,,,,dedupe_pending
CAND-0122,Sakleshpur,India,South India,Karnataka,Hassan,hill_region,coffee,hills,weekend,tier_2,candidate,Bangalore weekend candidate,hill_region,coffee,hills,,weekend_getaway,,,,vibe:weekend->trip_style:weekend_getaway,dedupe_pending
CAND-0123,Udupi,India,South India,Karnataka,Udupi,coastal_town,food,spiritual,coast,tier_1,candidate,Coast/food/spiritual candidate,coastal_town,food,spiritual,coast,,,,,,dedupe_pending
CAND-0124,Murudeshwar,India,South India,Karnataka,Uttara Kannada,pilgrim_coastal_town,spiritual,coast,beach,tier_1,candidate,Coast/pilgrimage candidate,pilgrim_coastal_town,spiritual,coast,beach,,,,,,dedupe_pending
CAND-0125,Dandeli,India,South India,Karnataka,Uttara Kannada,forest_region,adventure,river,forest,tier_1,candidate,Adventure/nature candidate,forest_region,adventure,river,forest,,,,,,dedupe_pending
CAND-0126,Belagavi,India,South India,Karnataka,Belagavi,city,food,heritage,gateway,tier_3,candidate,Regional gateway candidate,city,food,heritage,,,gateway_context,,,vibe:gateway->context,dedupe_pending
CAND-0127,Warangal,India,South India,Telangana,Warangal,heritage_city,heritage,temples,history,tier_1,candidate,Telangana heritage candidate,heritage_city,heritage,temples,history,,,,,,dedupe_pending
CAND-0128,Nagarjuna Sagar,India,South India,Telangana/Andhra Pradesh,Nalgonda/Guntur,lake_region,lakes,history,nature,tier_2,candidate,Lake/dam/history candidate,lake_region,lakes,history,nature,,,,,,dedupe_pending
CAND-0129,Papikondalu,India,South India,Andhra Pradesh,Godavari,river_region,river,nature,slow_travel,tier_2,candidate,River cruise/nature candidate,river_region,river,nature,slow_travel,,,,,,dedupe_pending
CAND-0130,Lepakshi,India,South India,Andhra Pradesh,Sri Sathya Sai,heritage_site,temples,architecture,heritage,tier_2,candidate,Temple heritage candidate,heritage_site,temples,architecture,heritage,,,,,,dedupe_pending
CAND-0131,Tirupati,India,South India,Andhra Pradesh,Tirupati,pilgrim_city,spiritual,pilgrimage,family,tier_1,candidate,Major pilgrimage candidate,pilgrim_city,spiritual,pilgrimage,family,,,,,,dedupe_pending
CAND-0132,Vijayawada,India,South India,Andhra Pradesh,NTR,city,river,food,spiritual,tier_2,candidate,Regional city candidate,city,river,food,spiritual,,,,,,dedupe_pending
