destination_master_id,source_layer,source_id,source_file,canonical_name,alias_names,country,macro_region,state_or_area,district_or_area,destination_scale,location_type,vibe_1,vibe_2,vibe_3,trip_style_tags,context_tags,caution_tags,budget_band,family_suitability,access_complexity,best_season_hint,verification_status,promotion_status,planner_use_status,source_confidence,source_notes,normalisation_notes,master_notes
DST2-000011,seed,DST-0011,datasets/reference/india_region_destinations_seed.csv,Shimla,,India,North India,Himachal Pradesh,,town,hill_station,hills,family,colonial,,,,mid,high,moderate,Mar-Jun;Oct-Dec,seed_unverified,enrichment_pending,needs_verification,none,seed row promoted into master v2; not source verified,,initial seed promotion
DST2-000012,seed,DST-0012,datasets/reference/india_region_destinations_seed.csv,Manali,,India,North India,Himachal Pradesh,,town,hill_station,hills,adventure,snow,,,,mid,medium,moderate,Mar-Jun;Oct-Feb,seed_unverified,enrichment_pending,needs_verification,none,seed row promoted into master v2; not source verified,,initial seed promotion
DST2-000013,seed,DST-0013,datasets/reference/india_region_destinations_seed.csv,Dharamshala,,India,North India,Himachal Pradesh,,town,hill_town,hills,culture,wellness,,,,mid,medium,moderate,Mar-Jun;Sep-Nov,seed_unverified,enrichment_pending,needs_verification,none,seed row promoted into master v2; not source verified,,initial seed promotion
DST2-000014,seed,DST-0014,datasets/reference/india_region_destinations_seed.csv,Dalhousie,,India,North India,Himachal Pradesh,,town,hill_station,hills,family,slow_travel,,,,mid,high,moderate,Mar-Jun;Sep-Nov,seed_unverified,enrichment_pending,needs_verification,none,seed row promoted into master v2; not source verified,,initial seed promotion
DST2-000015,seed,DST-0015,datasets/reference/india_region_destinations_seed.csv,Leh,,India,North India,Ladakh,,unknown,high_altitude,mountains,adventure,landscape,,,,mid_premium,low,hard,Jun-Sep,seed_unverified,enrichment_pending,needs_verification,none,seed row promoted into master v2; not source verified,,initial seed promotion
DST2-000016,seed,DST-0016,datasets/reference/india_region_destinations_seed.csv,Srinagar,,India,North India,Jammu and Kashmir,,unknown,lake_valley,lakes,mountains,gardens,,,,mid_premium,medium,moderate,Apr-Oct,seed_unverified,enrichment_pending,needs_verification,none,seed row promoted into master v2; not source verified,,initial seed promotion
DST2-000017,seed,DST-0017,datasets/reference/india_region_destinations_seed.csv,Gulmarg,,India,North India,Jammu and Kashmir,,resort_zone,mountain_resort,snow,mountains,ski,,,,premium,medium,moderate,Dec-Mar;Apr-Jun,seed_unverified,enrichment_pending,needs_verification,none,seed row promoted into master v2; not source verified,,initial seed promotion
DST2-000018,seed,DST-0018,datasets/reference/india_region_destinations_seed.csv,Rishikesh,,India,North India,Uttarakhand,,town,river_spiritual_town,spiritual,wellness,adventure,,,,budget_mid,medium,moderate,Oct-Apr,seed_unverified,enrichment_pending,needs_verification,none,seed row promoted into master v2; not source verified,,initial seed promotion
DST2-000019,seed,DST-0019,datasets/reference/india_region_destinations_seed.csv,Haridwar,,India,North India,Uttarakhand,,city,pilgrim_city,spiritual,culture,pilgrimage,,,,budget,medium,easy,Oct-Mar,seed_unverified,enrichment_pending,needs_verification,none,seed row promoted into master v2; not source verified,,initial seed promotion
DST2-000020,seed,DST-0020,datasets/reference/india_region_destinations_seed.csv,Mussoorie,,India,North India,Uttarakhand,,town,hill_station,hills,family,slow_travel,,,,mid,high,moderate,Mar-Jun;Sep-Nov,seed_unverified,enrichment_pending,needs_verification,none,seed row promoted into master v2; not source verified,,initial seed promotion
DST2-000021,seed,DST-0021,datasets/reference/india_region_destinations_seed.csv,Nainital,,India,North India,Uttarakhand,,town,lake_hill_station,lakes,hills,family,,,,mid,high,moderate,Mar-Jun;Sep-Nov,seed_unverified,enrichment_pending,needs_verification,none,seed row promoted into master v2; not source verified,,initial seed promotion
DST2-000022,seed,DST-0022,datasets/reference/india_region_destinations_seed.csv,Jim Corbett,,India,North India,Uttarakhand,,park,wildlife_reserve,wildlife,nature,family,,,,mid_premium,medium,moderate,Nov-Jun,seed_unverified,enrichment_pending,needs_verification,none,seed row promoted into master v2; not source verified,,initial seed promotion
DST2-000023,seed,DST-0023,datasets/reference/india_region_destinations_seed.csv,Varanasi,,India,North India,Uttar Pradesh,,city,spiritual_city,spiritual,culture,history,,,,budget_mid,low_medium,easy,Oct-Mar,seed_unverified,enrichment_pending,needs_verification,none,seed row promoted into master v2; not source verified,,initial seed promotion
DST2-000024,seed,DST-0024,datasets/reference/india_region_destinations_seed.csv,Lucknow,,India,North India,Uttar Pradesh,,city,heritage_city,food,heritage,culture,,,,budget_mid,high,easy,Oct-Mar,seed_unverified,enrichment_pending,needs_verification,none,seed row promoted into master v2; not source verified,,initial seed promotion
DST2-000025,seed,DST-0025,datasets/reference/india_region_destinations_seed.csv,Bhopal,,India,Central India,Madhya Pradesh,,city,lake_city,lakes,history,gateway,,,,budget_mid,high,easy,Oct-Mar,seed_unverified,enrichment_pending,needs_verification,none,seed row promoted into master v2; not source verified,,initial seed promotion
DST2-000026,seed,DST-0026,datasets/reference/india_region_destinations_seed.csv,Sanchi,,India,Central India,Madhya Pradesh,,site,heritage_site,buddhist,heritage,history,,,,budget_mid,medium,moderate,Oct-Mar,seed_unverified,enrichment_pending,needs_verification,none,seed row promoted into master v2; not source verified,,initial seed promotion
DST2-000027,seed,DST-0027,datasets/reference/india_region_destinations_seed.csv,Khajuraho,,India,Central India,Madhya Pradesh,,town,heritage_town,heritage,architecture,temples,,,,mid,medium,moderate,Oct-Mar,seed_unverified,enrichment_pending,needs_verification,none,seed row promoted into master v2; not source verified,,initial seed promotion
DST2-000028,seed,DST-0028,datasets/reference/india_region_destinations_seed.csv,Orchha,,India,Central India,Madhya Pradesh,,town,heritage_town,heritage,slow_travel,river,,,,budget_mid,medium,moderate,Oct-Mar,seed_unverified,enrichment_pending,needs_verification,none,seed row promoted into master v2; not source verified,,initial seed promotion
DST2-000029,seed,DST-0029,datasets/reference/india_region_destinations_seed.csv,Pachmarhi,,India,Central India,Madhya Pradesh,,town,hill_station,hills,nature,family,,,,mid,high,moderate,Oct-Mar,seed_unverified,enrichment_pending,needs_verification,none,seed row promoted into master v2; not source verified,,initial seed promotion
DST2-000030,seed,DST-0030,datasets/reference/india_region_destinations_seed.csv,Kanha,,India,Central India,Madhya Pradesh,,park,wildlife_reserve,wildlife,safari,nature,,,,premium,medium,hard,Oct-Jun,seed_unverified,enrichment_pending,needs_verification,none,seed row promoted into master v2; not source verified,,initial seed promotion
DST2-000031,seed,DST-0031,datasets/reference/india_region_destinations_seed.csv,Bandhavgarh,,India,Central India,Madhya Pradesh,,park,wildlife_reserve,wildlife,safari,nature,,,,premium,medium,hard,Oct-Jun,seed_unverified,enrichment_pending,needs_verification,none,seed row promoted into master v2; not source verified,,initial seed promotion
DST2-000032,seed,DST-0032,datasets/reference/india_region_destinations_seed.csv,Mumbai,,India,West India,Maharashtra,,city,metro_city,urban,food,culture,,,,mid_premium,medium,easy,Nov-Feb,seed_unverified,enrichment_pending,needs_verification,none,seed row promoted into master v2; not source verified,,initial seed promotion
DST2-000033,seed,DST-0033,datasets/reference/india_region_destinations_seed.csv,Pune,,India,West India,Maharashtra,,city,city,urban,food,gateway,,,,mid,high,easy,Oct-Feb,seed_unverified,enrichment_pending,needs_verification,none,seed row promoted into master v2; not source verified,,initial seed promotion
DST2-000034,seed,DST-0034,datasets/reference/india_region_destinations_seed.csv,Lonavala,,India,West India,Maharashtra,,town,hill_station,hills,weekend,family,,,,mid,high,easy,Jun-Sep;Oct-Feb,seed_unverified,enrichment_pending,needs_verification,none,seed row promoted into master v2; not source verified,,initial seed promotion
DST2-000035,seed,DST-0035,datasets/reference/india_region_destinations_seed.csv,Mahabaleshwar,,India,West India,Maharashtra,,town,hill_station,hills,family,strawberries,,,,mid,high,moderate,Oct-Jun,seed_unverified,enrichment_pending,needs_verification,none,seed row promoted into master v2; not source verified,,initial seed promotion
DST2-000036,seed,DST-0036,datasets/reference/india_region_destinations_seed.csv,Nashik,,India,West India,Maharashtra,,city,wine_heritage_city,wine,heritage,food,,,,mid,medium,easy,Oct-Mar,seed_unverified,enrichment_pending,needs_verification,none,seed row promoted into master v2; not source verified,,initial seed promotion
DST2-000037,seed,DST-0037,datasets/reference/india_region_destinations_seed.csv,Aurangabad,,India,West India,Maharashtra,,unknown,heritage_gateway,heritage,caves,history,,,,mid,medium,moderate,Oct-Mar,seed_unverified,enrichment_pending,needs_verification,none,seed row promoted into master v2; not source verified,,initial seed promotion
DST2-000038,seed,DST-0038,datasets/reference/india_region_destinations_seed.csv,Goa,,India,West India,Goa,,unknown,beach_state,beach,food,resort,,,,mid_premium,high,easy,Nov-Mar,seed_unverified,enrichment_pending,needs_verification,none,seed row promoted into master v2; not source verified,,initial seed promotion
DST2-000039,seed,DST-0039,datasets/reference/india_region_destinations_seed.csv,Diu,,India,West India,Daman and Diu,,town,coastal_town,beach,slow_travel,coast,,,,budget_mid,medium,moderate,Oct-Mar,seed_unverified,enrichment_pending,needs_verification,none,seed row promoted into master v2; not source verified,,initial seed promotion
DST2-000040,seed,DST-0040,datasets/reference/india_region_destinations_seed.csv,Ahmedabad,,India,West India,Gujarat,,city,heritage_city,heritage,food,architecture,,,,budget_mid,high,easy,Nov-Feb,seed_unverified,enrichment_pending,needs_verification,none,seed row promoted into master v2; not source verified,,initial seed promotion
DST2-000041,seed,DST-0041,datasets/reference/india_region_destinations_seed.csv,Kutch,,India,West India,Gujarat,,region,desert_region,desert,culture,craft,,,,mid,medium,moderate,Nov-Feb,seed_unverified,enrichment_pending,needs_verification,none,seed row promoted into master v2; not source verified,,initial seed promotion
DST2-000042,seed,DST-0042,datasets/reference/india_region_destinations_seed.csv,Gir,,India,West India,Gujarat,,park,wildlife_reserve,wildlife,safari,nature,,,,mid_premium,medium,moderate,Dec-Mar,seed_unverified,enrichment_pending,needs_verification,none,seed row promoted into master v2; not source verified,,initial seed promotion
DST2-000043,seed,DST-0043,datasets/reference/india_region_destinations_seed.csv,Dwarka,,India,West India,Gujarat,,town,pilgrim_coastal_town,spiritual,coast,pilgrimage,,,,budget_mid,medium,moderate,Oct-Mar,seed_unverified,enrichment_pending,needs_verification,none,seed row promoted into master v2; not source verified,,initial seed promotion
DST2-000044,seed,DST-0044,datasets/reference/india_region_destinations_seed.csv,Bengaluru,,India,South India,Karnataka,,city,metro_city,urban,food,gateway,,,,mid,high,easy,Oct-Feb,seed_unverified,enrichment_pending,needs_verification,none,seed row promoted into master v2; not source verified,,initial seed promotion
DST2-000045,seed,DST-0045,datasets/reference/india_region_destinations_seed.csv,Mysuru,,India,South India,Karnataka,,city,heritage_city,palace,heritage,family,,,,budget_mid,high,easy,Oct-Feb,seed_unverified,enrichment_pending,needs_verification,none,seed row promoted into master v2; not source verified,,initial seed promotion
DST2-000046,seed,DST-0046,datasets/reference/india_region_destinations_seed.csv,Coorg,,India,South India,Karnataka,,region,hill_region,coffee,hills,resort,,,,mid_premium,high,moderate,Oct-Mar,seed_unverified,enrichment_pending,needs_verification,none,seed row promoted into master v2; not source verified,,initial seed promotion
DST2-000047,seed,DST-0047,datasets/reference/india_region_destinations_seed.csv,Chikmagalur,,India,South India,Karnataka,,region,hill_region,coffee,hills,nature,,,,mid,high,moderate,Sep-Mar,seed_unverified,enrichment_pending,needs_verification,none,seed row promoted into master v2; not source verified,,initial seed promotion
DST2-000048,seed,DST-0048,datasets/reference/india_region_destinations_seed.csv,Hampi,,India,South India,Karnataka,,site,heritage_site,heritage,landscape,history,,,,budget_mid,medium,moderate,Oct-Feb,seed_unverified,enrichment_pending,needs_verification,none,seed row promoted into master v2; not source verified,,initial seed promotion
DST2-000049,seed,DST-0049,datasets/reference/india_region_destinations_seed.csv,Gokarna,,India,South India,Karnataka,,town,beach_town,beach,slow_travel,coast,,,,budget_mid,medium,moderate,Oct-Mar,seed_unverified,enrichment_pending,needs_verification,none,seed row promoted into master v2; not source verified,,initial seed promotion
DST2-000050,seed,DST-0050,datasets/reference/india_region_destinations_seed.csv,Hyderabad,,India,South India,Telangana,,city,metro_city,food,heritage,urban,,,,budget_mid,high,easy,Oct-Feb,seed_unverified,enrichment_pending,needs_verification,none,seed row promoted into master v2; not source verified,,initial seed promotion
DST2-000051,seed,DST-0051,datasets/reference/india_region_destinations_seed.csv,Chennai,,India,South India,Tamil Nadu,,city,metro_coastal_city,culture,food,coast,,,,budget_mid,medium,easy,Nov-Feb,seed_unverified,enrichment_pending,needs_verification,none,seed row promoted into master v2; not source verified,,initial seed promotion
DST2-000052,seed,DST-0052,datasets/reference/india_region_destinations_seed.csv,Pondicherry,,India,South India,Puducherry,,town,coastal_town,french_quarter,food,slow_travel,,,,mid,high,easy,Nov-Feb,seed_unverified,enrichment_pending,needs_verification,none,seed row promoted into master v2; not source verified,,initial seed promotion
DST2-000053,seed,DST-0053,datasets/reference/india_region_destinations_seed.csv,Mahabalipuram,,India,South India,Tamil Nadu,,town,coastal_heritage_town,heritage,coast,architecture,,,,mid,high,easy,Nov-Feb,seed_unverified,enrichment_pending,needs_verification,none,seed row promoted into master v2; not source verified,,initial seed promotion
DST2-000054,seed,DST-0054,datasets/reference/india_region_destinations_seed.csv,Madurai,,India,South India,Tamil Nadu,,city,temple_city,spiritual,heritage,food,,,,budget_mid,medium,easy,Oct-Mar,seed_unverified,enrichment_pending,needs_verification,none,seed row promoted into master v2; not source verified,,initial seed promotion
DST2-000055,seed,DST-0055,datasets/reference/india_region_destinations_seed.csv,Kodaikanal,,India,South India,Tamil Nadu,,town,hill_station,hills,family,slow_travel,,,,mid,high,moderate,Apr-Jun;Sep-Feb,seed_unverified,enrichment_pending,needs_verification,none,seed row promoted into master v2; not source verified,,initial seed promotion
DST2-000056,seed,DST-0056,datasets/reference/india_region_destinations_seed.csv,Ooty,,India,South India,Tamil Nadu,,town,hill_station,hills,family,tea,,,,mid,high,moderate,Apr-Jun;Sep-Feb,seed_unverified,enrichment_pending,needs_verification,none,seed row promoted into master v2; not source verified,,initial seed promotion
DST2-000057,seed,DST-0057,datasets/reference/india_region_destinations_seed.csv,Rameswaram,,India,South India,Tamil Nadu,,town,pilgrim_coastal_town,spiritual,coast,pilgrimage,,,,budget_mid,medium,moderate,Oct-Mar,seed_unverified,enrichment_pending,needs_verification,none,seed row promoted into master v2; not source verified,,initial seed promotion
DST2-000058,seed,DST-0058,datasets/reference/india_region_destinations_seed.csv,Kochi,,India,South India,Kerala,,city,coastal_heritage_city,food,heritage,backwaters,,,,mid,high,easy,Oct-Mar,seed_unverified,enrichment_pending,needs_verification,none,seed row promoted into master v2; not source verified,,initial seed promotion
DST2-000059,seed,DST-0059,datasets/reference/india_region_destinations_seed.csv,Munnar,,India,South India,Kerala,,town,hill_station,tea,hills,resort,,,,mid_premium,high,moderate,Sep-Mar,seed_unverified,enrichment_pending,needs_verification,none,seed row promoted into master v2; not source verified,,initial seed promotion
DST2-000060,seed,DST-0060,datasets/reference/india_region_destinations_seed.csv,Alleppey,,India,South India,Kerala,,region,backwater_region,backwaters,slow_travel,family,,,,mid_premium,high,moderate,Oct-Mar,seed_unverified,enrichment_pending,needs_verification,none,seed row promoted into master v2; not source verified,,initial seed promotion
DST2-000061,seed,DST-0061,datasets/reference/india_region_destinations_seed.csv,Kumarakom,,India,South India,Kerala,,resort_zone,backwater_resort,backwaters,resort,family,,,,premium,high,moderate,Oct-Mar,seed_unverified,enrichment_pending,needs_verification,none,seed row promoted into master v2; not source verified,,initial seed promotion
DST2-000062,seed,DST-0062,datasets/reference/india_region_destinations_seed.csv,Thekkady,,India,South India,Kerala,,region,wildlife_hill_region,wildlife,spice,nature,,,,mid,medium,moderate,Oct-Mar,seed_unverified,enrichment_pending,needs_verification,none,seed row promoted into master v2; not source verified,,initial seed promotion
DST2-000063,seed,DST-0063,datasets/reference/india_region_destinations_seed.csv,Varkala,,India,South India,Kerala,,town,beach_town,beach,wellness,slow_travel,,,,mid,medium,moderate,Oct-Mar,seed_unverified,enrichment_pending,needs_verification,none,seed row promoted into master v2; not source verified,,initial seed promotion
DST2-000064,seed,DST-0064,datasets/reference/india_region_destinations_seed.csv,Kovalam,,India,South India,Kerala,,resort_zone,beach_resort,beach,resort,family,,,,mid_premium,high,easy,Oct-Mar,seed_unverified,enrichment_pending,needs_verification,none,seed row promoted into master v2; not source verified,,initial seed promotion
DST2-000065,seed,DST-0065,datasets/reference/india_region_destinations_seed.csv,Visakhapatnam,,India,East India,Andhra Pradesh,,city,coastal_city,beach,city,family,,,,budget_mid,high,easy,Oct-Mar,seed_unverified,enrichment_pending,needs_verification,none,seed row promoted into master v2; not source verified,,initial seed promotion
DST2-000066,seed,DST-0066,datasets/reference/india_region_destinations_seed.csv,Araku Valley,,India,East India,Andhra Pradesh,,unknown,hill_valley,hills,coffee,nature,,,,budget_mid,medium,moderate,Oct-Mar,seed_unverified,enrichment_pending,needs_verification,none,seed row promoted into master v2; not source verified,,initial seed promotion
DST2-000067,seed,DST-0067,datasets/reference/india_region_destinations_seed.csv,Bhubaneswar,,India,East India,Odisha,,city,temple_city,temples,heritage,gateway,,,,budget_mid,high,easy,Oct-Mar,seed_unverified,enrichment_pending,needs_verification,none,seed row promoted into master v2; not source verified,,initial seed promotion
DST2-000068,seed,DST-0068,datasets/reference/india_region_destinations_seed.csv,Puri,,India,East India,Odisha,,town,pilgrim_beach_town,spiritual,beach,culture,,,,budget_mid,medium,easy,Oct-Mar,seed_unverified,enrichment_pending,needs_verification,none,seed row promoted into master v2; not source verified,,initial seed promotion
DST2-000069,seed,DST-0069,datasets/reference/india_region_destinations_seed.csv,Konark,,India,East India,Odisha,,site,heritage_site,heritage,architecture,temple,,,,budget_mid,medium,easy,Oct-Mar,seed_unverified,enrichment_pending,needs_verification,none,seed row promoted into master v2; not source verified,,initial seed promotion
DST2-000070,seed,DST-0070,datasets/reference/india_region_destinations_seed.csv,Kolkata,,India,East India,West Bengal,,city,metro_city,culture,food,heritage,,,,budget_mid,high,easy,Nov-Feb,seed_unverified,enrichment_pending,needs_verification,none,seed row promoted into master v2; not source verified,,initial seed promotion
DST2-000071,seed,DST-0071,datasets/reference/india_region_destinations_seed.csv,Darjeeling,,India,East India,West Bengal,,town,hill_station,tea,hills,heritage,,,,mid,medium,moderate,Mar-May;Oct-Dec,seed_unverified,enrichment_pending,needs_verification,none,seed row promoted into master v2; not source verified,,initial seed promotion
DST2-000072,seed,DST-0072,datasets/reference/india_region_destinations_seed.csv,Kalimpong,,India,East India,West Bengal,,town,hill_town,hills,slow_travel,culture,,,,mid,medium,moderate,Mar-May;Oct-Dec,seed_unverified,enrichment_pending,needs_verification,none,seed row promoted into master v2; not source verified,,initial seed promotion
DST2-000073,seed,DST-0073,datasets/reference/india_region_destinations_seed.csv,Sundarbans,,India,East India,West Bengal,,region,mangrove_wildlife_region,wildlife,river,nature,,,,mid,low_medium,hard,Nov-Feb,seed_unverified,enrichment_pending,needs_verification,none,seed row promoted into master v2; not source verified,,initial seed promotion
DST2-000074,seed,DST-0074,datasets/reference/india_region_destinations_seed.csv,Gangtok,,India,North East India,Sikkim,,city,hill_city,mountains,culture,family,,,,mid,medium,moderate,Mar-May;Oct-Dec,seed_unverified,enrichment_pending,needs_verification,none,seed row promoted into master v2; not source verified,,initial seed promotion
DST2-000075,seed,DST-0075,datasets/reference/india_region_destinations_seed.csv,Pelling,,India,North East India,Sikkim,,town,mountain_town,mountains,views,slow_travel,,,,mid,medium,moderate,Mar-May;Oct-Dec,seed_unverified,enrichment_pending,needs_verification,none,seed row promoted into master v2; not source verified,,initial seed promotion
DST2-000076,seed,DST-0076,datasets/reference/india_region_destinations_seed.csv,Guwahati,,India,North East India,Assam,,city,city_gateway,gateway,river,culture,,,,budget_mid,medium,easy,Oct-Apr,seed_unverified,enrichment_pending,needs_verification,none,seed row promoted into master v2; not source verified,,initial seed promotion
DST2-000077,seed,DST-0077,datasets/reference/india_region_destinations_seed.csv,Kaziranga,,India,North East India,Assam,,park,wildlife_reserve,wildlife,safari,nature,,,,mid_premium,medium,moderate,Nov-Apr,seed_unverified,enrichment_pending,needs_verification,none,seed row promoted into master v2; not source verified,,initial seed promotion
DST2-000078,seed,DST-0078,datasets/reference/india_region_destinations_seed.csv,Shillong,,India,North East India,Meghalaya,,city,hill_city,hills,music,nature,,,,mid,medium,moderate,Oct-Apr,seed_unverified,enrichment_pending,needs_verification,none,seed row promoted into master v2; not source verified,,initial seed promotion
DST2-000079,seed,DST-0079,datasets/reference/india_region_destinations_seed.csv,Cherrapunji,,India,North East India,Meghalaya,,region,rainforest_region,waterfalls,nature,rain,,,,mid,medium,moderate,Oct-Apr,seed_unverified,enrichment_pending,needs_verification,none,seed row promoted into master v2; not source verified,,initial seed promotion
DST2-000080,seed,DST-0080,datasets/reference/india_region_destinations_seed.csv,Tawang,,India,North East India,Arunachal Pradesh,,town,mountain_town,monastery,mountains,culture,,,,mid_premium,low_medium,hard,Mar-Jun;Sep-Oct,seed_unverified,enrichment_pending,needs_verification,none,seed row promoted into master v2; not source verified,,initial seed promotion
DST2-000081,seed,DST-0081,datasets/reference/india_region_destinations_seed.csv,Ziro Valley,,India,North East India,Arunachal Pradesh,,unknown,valley,culture,music,nature,,,,mid,medium,hard,Mar-May;Sep-Oct,seed_unverified,enrichment_pending,needs_verification,none,seed row promoted into master v2; not source verified,,initial seed promotion
DST2-000082,seed,DST-0082,datasets/reference/india_region_destinations_seed.csv,Kohima,,India,North East India,Nagaland,,city,hill_city,culture,history,hills,,,,mid,medium,moderate,Oct-Apr,seed_unverified,enrichment_pending,needs_verification,none,seed row promoted into master v2; not source verified,,initial seed promotion
DST2-000083,seed,DST-0083,datasets/reference/india_region_destinations_seed.csv,Imphal,,India,North East India,Manipur,,unknown,city_valley,culture,lake,history,,,,mid,medium,moderate,Oct-Apr,seed_unverified,enrichment_pending,needs_verification,none,seed row promoted into master v2; not source verified,,initial seed promotion
DST2-000084,seed,DST-0084,datasets/reference/india_region_destinations_seed.csv,Aizawl,,India,North East India,Mizoram,,city,hill_city,hills,culture,slow_travel,,,,mid,medium,moderate,Oct-Apr,seed_unverified,enrichment_pending,needs_verification,none,seed row promoted into master v2; not source verified,,initial seed promotion
DST2-000085,seed,DST-0085,datasets/reference/india_region_destinations_seed.csv,Agartala,,India,North East India,Tripura,,city,city,palace,culture,history,,,,budget_mid,medium,moderate,Oct-Mar,seed_unverified,enrichment_pending,needs_verification,none,seed row promoted into master v2; not source verified,,initial seed promotion
DST2-000086,seed,DST-0086,datasets/reference/india_region_destinations_seed.csv,Port Blair,,India,Island India,Andaman and Nicobar,,island,island_gateway,islands,beach,history,,,,mid_premium,medium,moderate,Nov-Apr,seed_unverified,enrichment_pending,needs_verification,none,seed row promoted into master v2; not source verified,,initial seed promotion
DST2-000087,seed,DST-0087,datasets/reference/india_region_destinations_seed.csv,Havelock Island,,India,Island India,Andaman and Nicobar,,island,island_beach,beach,diving,resort,,,,premium,medium,hard,Nov-Apr,seed_unverified,enrichment_pending,needs_verification,none,seed row promoted into master v2; not source verified,,initial seed promotion
DST2-000088,seed,DST-0088,datasets/reference/india_region_destinations_seed.csv,Neil Island,,India,Island India,Andaman and Nicobar,,island,island_beach,beach,slow_travel,nature,,,,mid_premium,medium,hard,Nov-Apr,seed_unverified,enrichment_pending,needs_verification,none,seed row promoted into master v2; not source verified,,initial seed promotion
DST2-000089,seed,DST-0089,datasets/reference/india_region_destinations_seed.csv,Lakshadweep,,India,Island India,Lakshadweep,,island,island_region,islands,beach,marine,,,,premium,medium,hard,Oct-Mar,seed_unverified,enrichment_pending,needs_verification,none,seed row promoted into master v2; not source verified,,initial seed promotion
DST2-000090,seed,DST-0090,datasets/reference/india_region_destinations_seed.csv,Kathmandu,,Nepal,Near India,Nepal,,city,heritage_city,culture,mountains,gateway,,,,budget_mid,medium,easy,Oct-Apr,seed_unverified,enrichment_pending,needs_verification,none,seed row promoted into master v2; not source verified,,initial seed promotion
DST2-000091,seed,DST-0091,datasets/reference/india_region_destinations_seed.csv,Pokhara,,Nepal,Near India,Nepal,,city,lake_mountain_city,lakes,mountains,relaxation,,,,mid,high,moderate,Oct-Apr,seed_unverified,enrichment_pending,needs_verification,none,seed row promoted into master v2; not source verified,,initial seed promotion
DST2-000092,seed,DST-0092,datasets/reference/india_region_destinations_seed.csv,Chitwan,,Nepal,Near India,Nepal,,region,wildlife_region,wildlife,nature,safari,,,,mid,medium,moderate,Oct-Mar,seed_unverified,enrichment_pending,needs_verification,none,seed row promoted into master v2; not source verified,,initial seed promotion
